Entidad;Caso de Uso;Descripcion;Estado;Ultima Actualizacion
ADL;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Development;2024-05-20
ADL;Uso de Vertex AI;Caso de uso para el uso de IA en Vertex;Deployed;2024-01-15
BAC;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Cancelled;2023-11-10
Banco AV Villas;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Task Assigned;2024-05-22
Banco de Bogotá;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Development;2024-05-20
Banco Occidente;Modelo de propensión de compra;Identificar clientes con mayor probabilidad de adquirir un nuevo producto financiero.;Development;2024-05-23
Corfi;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Deployed;2024-01-15
COSARGO;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Cancelled;2023-11-10
CTIC;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Development;2024-05-20
Ecosistemas Movilidad;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Task Assigned;2024-05-22
Ecosistemas Vivienda;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Development;2024-05-20
Mathilde;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Deployed;2024-01-15
Metrocuadrado;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Development;2024-05-20
Multibank;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Cancelled;2023-11-10
Pajonales;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Task Assigned;2024-05-22
Porvenir;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Development;2024-05-20
Promigas;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Deployed;2024-01-15
Transversal;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Cancelled;2023-11-10
Tuplus;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Task Assigned;2024-05-22
Unipalma;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Development;2024-05-20
AVC;Uso de LLMs para casos de uso;Laboratorio para el uso de modelos de lenguaje;Deployed;2024-01-15